음식이미지(ID),식당(ID),식당명,지역명,메뉴(ID),음식이미지(URL)
193,1239,원조18번완당,부산광역시 서구,93,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985754_1638846214_menu.jpg
194,1239,원조18번완당,부산광역시 서구,94,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985755_1638846215_menu.jpg
195,1239,원조18번완당,부산광역시 서구,95,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985756_1638846215_menu.png
196,1239,원조18번완당,부산광역시 서구,96,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985757_1638846215_menu.png
197,1239,원조18번완당,부산광역시 서구,97,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985758_1638846215_menu.png
198,1239,원조18번완당,부산광역시 서구,98,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985759_1638846215_menu.png
199,1239,원조18번완당,부산광역시 서구,99,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985760_1638846215_menu.png
200,1239,원조18번완당,부산광역시 서구,101,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985762_1638846215_menu.png
201,1239,원조18번완당,부산광역시 서구,102,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985763_1638846215_menu.png
202,1239,원조18번완당,부산광역시 서구,103,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/985844_1638846215_menu.png
109,1946,롯데리아(부산비프광장점),부산광역시 중구,60857,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2349003_1638843639_menu.png
51,2956,산성집,부산광역시 금정구,61236,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2396481_1638843247_menu.png
52,2956,산성집,부산광역시 금정구,61238,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2396483_1638843247_menu.png
53,2956,산성집,부산광역시 금정구,61242,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2396487_1638843247_menu.png
110,5269,기장멸치국수,부산광역시 동구,149543,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2484706_1638843639_menu.png
111,5278,옛날국수,부산광역시 부산진구,2531116,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2207937_1638843640_menu.png
113,5278,옛날국수,부산광역시 부산진구,2347644,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2890577_1638843640_menu.png
115,5278,옛날국수,부산광역시 부산진구,2135455,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1358734_1638843640_menu.png
117,5856,오소리순대,부산광역시 동구,1981864,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2380684_1638843640_menu.png
118,5860,태화통닭,부산광역시 동구,1421992,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2484615_1638843640_menu.png
119,8025,새부평한우갈비,부산광역시 중구,2037791,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2469986_1638843640_menu.png
120,8030,봉짱,부산광역시 중구,2069292,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2483027_1638843640_menu.png
121,8052,서울깍두기,부산광역시 중구,1784,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1032354_1638843640_menu.png
122,8059,우리집,부산광역시 중구,1921406,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2961297_1638843641_menu.png
123,8062,남포삼계탕,부산광역시 중구,745620,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2883787_1638843641_menu.png
203,8064,할매집회국수,부산광역시 중구,1798,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2977152_1638846216_menu.png
63,9815,서울삼계탕,부산광역시 중구,177919,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2161974_1638843253_menu.png
65,9815,서울삼계탕,부산광역시 중구,177922,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2161977_1638843253_menu.png
124,9819,어가초밥,부산광역시 중구,745990,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2470240_1638843698_menu.png
125,9822,수복센타,부산광역시 중구,2135698,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1760404_1638843698_menu.png
126,11437,구포집,부산광역시 중구,691899,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2347980_1638843698_menu.png
127,11438,생수숯불갈비,부산광역시 중구,116313,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2469942_1638843698_menu.png
32,11445,개미집(원조직영점),부산광역시 중구,2562,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941347_1638842683_menu.png
34,11445,개미집(원조직영점),부산광역시 중구,2564,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941349_1638842683_menu.png
36,11445,개미집(원조직영점),부산광역시 중구,2565,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941350_1638842683_menu.png
38,11445,개미집(원조직영점),부산광역시 중구,2563,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941348_1638842683_menu.png
40,11445,개미집(원조직영점),부산광역시 중구,2567,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941352_1638842683_menu.png
42,11445,개미집(원조직영점),부산광역시 중구,2566,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941351_1638842684_menu.png
44,11445,개미집(원조직영점),부산광역시 중구,2577,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2941362_1638842684_menu.png
128,13280,프로피자,부산광역시 중구,746298,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2960147_1638843747_menu.png
129,13283,해전곱,부산광역시 중구,1489899,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1690615_1638843794_menu.png
130,13342,영광포차,부산광역시 부산진구,62590,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3015973_1638843794_menu.png
112,13353,수영본가돼지국밥,부산광역시 부산진구,1899179,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2207937_1638843640_menu.png
132,15564,울릉도오징어횟집,부산광역시 중구,1454479,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2569563_1638843796_menu.png
133,17809,청진동해장국,부산광역시 중구,116929,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2907357_1638843796_menu.png
